X,Y,Z,redmi 4,suyog tambe,lenovo
19.30768411,72.86710855,0,-39,-33,-54
19.30768411,72.86710855,0,-40,-33,-58
19.30768411,72.86710855,0,-40,-33,-57
19.30768411,72.86710855,0,-41,-34,-56
19.30768854,72.86710201,0,-43,-32,-50
19.30768854,72.86710201,0,-43,-32,-57
19.30768854,72.86710201,0,-48,-29,-53
19.30768854,72.86710201,0,-45,-36,-52
19.30769204,72.86709598,0,-40,-31,-60
19.30769204,72.86709598,0,-37,-35,-70
19.30769204,72.86709598,0,-39,-31,-70
19.30769204,72.86709598,0,-40,-33,-66
19.30769182,72.86711202,0,-38,-30,-48
19.30769182,72.86711202,0,-45,-39,-46
19.30769182,72.86711202,0,-52,-36,-44
19.30769182,72.86711202,0,-52,-38,-47
19.30769395,72.86710695,0,-43,-39,-49
19.30769395,72.86710695,0,-40,-39,-53
19.30769395,72.86710695,0,-50,-37,-47
19.30769395,72.86710695,0,-46,-31,-49
19.30769803,72.86710096,0,-41,-35,0
19.30769803,72.86710096,0,-43,-39,-52
19.30769803,72.86710096,0,-42,-48,-54
19.30769803,72.86710096,0,-52,-39,-48
19.30769966,72.8671181,0,-32,-32,-57
19.30769966,72.8671181,0,-32,-31,-51
19.30769966,72.8671181,0,-33,-30,-52
19.30769966,72.8671181,0,-31,-32,-50
19.30770197,72.8671125,0,-42,-39,-45
19.30770197,72.8671125,0,-44,-32,-46
19.30770197,72.8671125,0,-40,-33,-46
19.30770197,72.8671125,0,-43,-34,-47
19.30770653,72.86710548,0,-38,-33,-39
19.30770653,72.86710548,0,-40,-38,-45
19.30770653,72.86710548,0,-39,-38,-45
19.30770653,72.86710548,0,-38,-32,-44
19.3077095,72.86710154,0,-61,-39,-44
19.3077095,72.86710154,0,-51,-33,-51
19.3077095,72.86710154,0,-50,-40,-45
19.3077095,72.86710154,0,-49,-30,-37
19.30770532,72.86712344,0,-36,-34,-59
19.30770532,72.86712344,0,-30,-35,-59
19.30770532,72.86712344,0,-32,-36,-52
19.30770532,72.86712344,0,-35,-34,-52
19.30771024,72.86711794,0,-42,-34,-57
19.30771024,72.86711794,0,-41,-35,-57
19.30771024,72.86711794,0,-45,-36,-52
19.30771024,72.86711794,0,-42,-26,-56
19.30771376,72.86711147,0,-38,-38,-50
19.30771376,72.86711147,0,-43,-38,-59
19.30771376,72.86711147,0,-43,-36,-57
19.30771376,72.86711147,0,-39,-38,-52
19.30771508,72.86710912,0,-49,-24,-47
19.30771508,72.86710912,0,-42,-25,-49
19.30771508,72.86710912,0,-44,-25,-50
19.30771508,72.86710912,0,-44,-31,-47
19.30771751,72.86710532,0,-47,-28,-42
19.30771751,72.86710532,0,-51,-32,-43
19.30771751,72.86710532,0,-51,-30,-43
19.30771751,72.86710532,0,-58,-29,-44
19.30771161,72.86712489,0,-39,-40,-66
19.30771161,72.86712489,0,-28,-32,-53
19.30771161,72.86712489,0,-30,-32,-57
19.30771161,72.86712489,0,-29,-30,-57
19.30771407,72.86711989,0,-42,-32,-58
19.30771407,72.86711989,0,-42,-30,-58
19.30771407,72.86711989,0,-42,-31,-61
19.30771407,72.86711989,0,-43,-34,-59
19.30771907,72.86711365,0,-55,-36,-64
19.30771907,72.86711365,0,-44,-32,-68
19.30771907,72.86711365,0,-47,-32,-62
19.30771907,72.86711365,0,-39,-31,-61
19.30771521,72.86712704,0,-52,-39,-60
19.30771521,72.86712704,0,-42,-34,-61
19.30771521,72.86712704,0,-46,-38,-65
19.30771521,72.86712704,0,-50,-41,-73
19.30770715,72.86711503,0,-41,-31,-56
19.30770715,72.86711503,0,-37,-30,-50
19.30770715,72.86711503,0,-35,-31,-50
19.30770715,72.86711503,0,-32,-31,-50
19.30771114,72.86710902,0,-55,-29,-42
19.30771114,72.86710902,0,-50,-30,-48
19.30771114,72.86710902,0,-45,-29,-50
19.30771114,72.86710902,0,-50,-29,-47
19.30771596,72.86709492,0,-70,-36,-48
19.30771596,72.86709492,0,-65,-39,-47
19.30771596,72.86709492,0,-62,-39,-48
19.30771596,72.86709492,0,-67,-39,-45
19.30771956,72.86708951,0,-56,-47,-49
19.30771956,72.86708951,0,-55,-48,-45
19.30771956,72.86708951,0,-55,-49,-43
19.30771956,72.86708951,0,-55,-51,-48
19.30772232,72.86708467,0,-57,-57,-36
19.30772232,72.86708467,0,-51,-53,-37
19.30772232,72.86708467,0,-50,-54,-38
19.30772232,72.86708467,0,-51,-55,-40
19.3077277,72.86707792,0,-57,-53,-42
19.3077277,72.86707792,0,-50,-48,-39
19.3077277,72.86707792,0,-50,-46,-39
19.3077277,72.86707792,0,-50,-46,-40
19.30772364,72.86709951,0,-61,-35,-44
19.30772364,72.86709951,0,-63,-39,-39
19.30772364,72.86709951,0,-62,-41,-42
19.30772364,72.86709951,0,-65,-43,-41
19.30772693,72.86709456,0,-57,-39,-44
19.30772693,72.86709456,0,-70,-41,-46
19.30772693,72.86709456,0,-62,-38,-42
19.30772693,72.86709456,0,-58,-36,-43
19.30773138,72.8670854,0,-80,-40,-32
19.30773138,72.8670854,0,-70,-42,-34
19.30773138,72.8670854,0,-67,-42,-33
19.30773138,72.8670854,0,-66,-43,-34
19.30771934,72.86709054,0,-46,-39,-43
19.30771934,72.86709054,0,-46,-42,-45
19.30771934,72.86709054,0,-47,-41,-42
19.30771934,72.86709054,0,-47,-43,-42
19.30772414,72.86708285,0,-48,-39,-40
19.30772414,72.86708285,0,-47,-37,-39
19.30772414,72.86708285,0,-45,-37,-38
19.30772414,72.86708285,0,-48,-38,-39
19.30772964,72.86708012,0,-68,-45,-39
19.30772964,72.86708012,0,-56,-46,-41
19.30772964,72.86708012,0,-55,-45,-42
19.30772964,72.86708012,0,-57,-45,-39
19.30771512,72.86710166,0,-39,-32,-46
19.30771512,72.86710166,0,-40,-36,-47
19.30771512,72.86710166,0,-39,-36,-46
19.30771512,72.86710166,0,-43,-31,-47
